team,link
Liverpool,/en/squads/822bd0ba/Liverpool-Stats
Arsenal,/en/squads/18bb7c10/Arsenal-Stats
Chelsea,/en/squads/cff3d9bb/Chelsea-Stats
Brighton and Hove Albion,/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
Manchester City,/en/squads/b8fd03ef/Manchester-City-Stats
Nottingham Forest,/en/squads/e4a775cb/Nottingham-Forest-Stats
Tottenham Hotspur,/en/squads/361ca564/Tottenham-Hotspur-Stats
Brentford,/en/squads/cd051869/Brentford-Stats
Manchester United,/en/squads/19538871/Manchester-United-Stats
Fulham,/en/squads/fd962109/Fulham-Stats
Newcastle United,/en/squads/b2b47a98/Newcastle-United-Stats
Aston Villa,/en/squads/8602292d/Aston-Villa-Stats
Bournemouth,/en/squads/4ba7cbea/Bournemouth-Stats
West Ham United,/en/squads/7c21e445/West-Ham-United-Stats
Leicester City,/en/squads/a2d435b3/Leicester-City-Stats
Crystal Palace,/en/squads/47c64c55/Crystal-Palace-Stats
Everton,/en/squads/d3fd31cc/Everton-Stats
Wolverhampton Wanderers,/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
Ipswich Town,/en/squads/b74092de/Ipswich-Town-Stats
Southampton,/en/squads/33c895d4/Southampton-Stats
